Barcode,Family,Genotype,d-T3,g-T3,a-T3,d-T,g-T,a-T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,Total.Carots,geno
19A1881_1,9.3-41,"POR1POR1,por2por2",0.285337660037273,4.70635739979324,9.69262083382042,0.270460715844251,9.43462858770244,7.58562206751662,14.6843158936509,17.2907113710633,31.9750272647143,311529.042826721,++--
19A1881_6,9.3-41,"por1por1,POR2POR2",0.387325401275995,5.48417143540502,9.36774094490919,0.161416425344427,7.13192664974585,8.07312412777042,15.2392377815902,15.3664672028607,30.6057049844509,308103.220387393,--++
19A1882_1,9.3-41,"POR1POR1,por2por2",0.362464226314365,4.46586506927722,8.59564395400023,0.0839684333186558,4.20823501465847,6.03239131488941,13.4239732495918,10.3245947628665,23.7485680124584,310866.081429664,++--
19A1882_4,9.3-41,"POR1por1,por2por2",0.414586169596194,5.66214042558947,11.8758890460811,0.110980173752836,5.08653854855114,7.01836110638798,17.9526156412668,12.215879828692,30.1684954699587,302813.913008112,+---
19A1882_6,9.3-41,"por1por1,POR2POR2",0.368633734728511,5.72755340979472,10.7004033071058,0.20873333408958,7.80889427156017,8.73889139656375,16.7965904516291,16.7565190022135,33.5531094538426,301763.455784152,--++
19A1884_10,9.3-41,"POR1POR1,por2por2",0.460572867002011,5.87559713693256,9.28866841262327,0.306604807254325,10.8415202839717,10.1043479507057,15.6248384165578,21.2524730419317,36.8773114584895,313056.144267264,++--
19A1884_3,9.3-41,"por1por1,POR2por2",0.321285877260482,5.25154003198906,11.7760290305597,0.039167528181732,2.6005017789018,5.96341761981324,17.3488549398092,8.60308692689677,25.951941866706,343520.457024498,--+-
19A1884_4,9.3-41,"POR1por1,por2por2",0.513926428139896,8.67699521805119,11.3982506150135,0.466101577550442,12.0900391291151,6.70376918600403,20.5891722612046,19.2599098926695,39.8490821538741,300633.833939946,+---
19A1884_7,9.3-41,"por1por1,POR2POR2",0.466533835004584,6.22378110413774,11.7227764080452,0.689930879234499,17.9050061818168,8.94173444253111,18.4130913471875,27.5366715035824,45.94976285077,331801.223006309,--++
19A1884_8,9.3-41,"POR1por1,por2por2",0.391291426808996,5.22078219537886,7.73407069659321,0.371546655469358,10.7628264138604,6.6332926646282,13.3461443187811,17.7676657339579,31.113810052739,281500.438202586,+---
19A1885_1,9.3-41,"por1por1,POR2POR2",0.479326288409605,5.58079323228828,10.808580700222,0.475171101538582,13.2075039557242,12.5913414653499,16.8687002209199,26.2740165226128,43.1427167435326,302130.991621847,--++
19A1885_3,9.3-41,"POR1POR1,POR2POR2",0.432690185451378,4.51979924968642,8.60715291692944,0.314919166900435,10.3954706205044,7.7076452919662,13.5596423520672,18.418035079371,31.9776774314382,298975.438663613,++++
19A1885_6,9.3-41,"POR1por1,por2por2",0.3350578770192,3.56648426965162,7.3533612557153,0.130875124025812,5.03550342977923,5.24915143687769,11.2549034023861,10.4155299906827,21.6704333930689,288423.425073352,+---
19A1885_9,9.3-41,"por1por1,POR2POR2",0.349504910340385,3.79497725397502,9.33474502658193,0.202734848774313,7.74383026678122,7.99071967709797,13.4792271908973,15.9372847926535,29.4165119835508,285549.361468343,--++
19A1886_3,9.3-41,"por1por1,POR2POR2",0.374421357812469,5.17016054340528,11.3995467785395,0.171759697611138,7.3842188533507,9.36593455814019,16.9441286797572,16.921913109102,33.8660417888593,320157.234045231,--++
19A1886_5,9.3-41,"POR1POR1,POR2POR2",0.373041462328458,4.94823778141759,9.91149664910147,0.899472406578498,19.8127518141582,10.5785340423718,15.2327758928475,31.2907582631085,46.5235341559561,322033.059051517,++++
19A1888_4,9.3-41,"por1por1,POR2por2",0.378187217541287,4.54608906699422,9.70310215479682,0.0883267102068631,3.66425870185188,4.31642416797302,14.6273784393323,8.06900958003177,22.6963880193641,355865.86656169,--+-
19A1888_9,9.3-41,"POR1por1,por2por2",0.48013038166634,4.05661553061106,7.16103670382309,0.050964662764341,2.19989589732759,5.52478785379511,11.6977826161005,7.77564841388704,19.4734310299875,312154.824013359,+---
19A1889_4,9.3-41,"POR1por1,por2por2",0.389105051439424,5.7301179469975,9.28485432217674,0.261537325566844,8.81909320164041,7.93982983670548,15.4040773206137,17.0204603639127,32.4245376845264,302902.79775413,+---
19A1890_2,9.3-41,"POR1por1,por2por2",0.426792187323516,6.5391435288538,10.5843184008363,0.10546498850163,5.03063325158416,5.97707781205514,17.5502541170136,11.1131760521409,28.6634301691545,292095.825450917,+---
19A1890_5,9.3-41,"por1por1,POR2por2",0.547678203295227,5.19303403481649,10.7742897587754,0.16075702356215,5.78780017485515,5.39689775998755,16.5150019968871,11.3454549584048,27.8604569552919,332756.887060733,--+-
19A1891_2,9.3-5,"por1por1,POR2por2",0.382642808968068,9.26419814566869,14.3601788108473,0.277482525794239,9.10245204956496,7.80506652050008,24.0070197654841,17.1850010958593,41.1920208613434,348626.348521111,--+-
19A1891_5,9.3-5,"POR1por1,por2por2",0.474593479001899,7.81395294432743,13.6116183988487,0.345913125175102,12.7824372739449,8.79014392742657,21.900164822178,21.9184943265466,43.8186591487245,288756.908794554,+---
19A1891_6,9.3-5,"POR1por1,por2por2",0.549634770360056,4.52113317498779,9.607695840019,0.103552561191496,4.50667283487762,6.714137862889,14.6784637853668,11.3243632589581,26.002827044325,299662.751774597,+---
19A1891_9,9.3-5,"por1por1,POR2POR2",0.432891341102981,5.61898118680244,10.4820550644254,0.334132458571096,11.0688580418267,7.5946317405824,16.5339275923308,18.9976222409802,35.531549833311,318444.935112116,--++
19A1892_4,9.3-5,"POR1POR1,POR2POR2",0.345109321688205,4.85696516748432,9.01327936235917,0.635887592178615,14.7948186990203,8.37173341993677,14.2153538515317,23.8024397111357,38.0177935626674,284344.956223084,++++
19A1892_5,9.3-5,"POR1POR1,por2por2",0.415214068975029,5.38071300794259,9.77898686061961,0.135666466802623,5.94609273121636,7.32831719639054,15.5749139375372,13.4100763944095,28.9849903319468,309340.112931897,++--
19A1893_6,9.3-5,"por1por1,POR2por2",0.280411241931612,6.75271910373858,13.7471683188758,0.353688806293032,10.3811611326808,9.36335719308508,20.780298664546,20.0982071320589,40.8785057966049,315436.161349126,--+-
19A1893_7,9.3-5,"por1por1,POR2por2",0.455210393858239,7.56935068541372,13.5757937988032,0.415532350630304,12.230011606296,6.52067066794904,21.6003548780752,19.1662146248754,40.7665695029506,359011.509225697,--+-
19A1893_9,9.3-5,"POR1POR1,por2por2",0.311649961258766,6.87740512489626,13.5136093460587,0.423131118339409,13.5120221112547,9.81724321765799,20.7026644322137,23.7523964472521,44.4550608794657,327439.982328013,++--
19A1895_2,9.3-5,"por1por1,POR2por2",0.440814843338983,6.48848548151777,13.6941250773608,0.182693720906662,7.22938178305676,7.30844263335417,20.6234254022176,14.7205181373176,35.3439435395352,340853.691304057,--+-
19A1895_4,9.3-5,"POR1por1,por2por2",0.314453507101359,4.14665055382678,9.19404759578859,0.0641062560081666,2.62154611898872,5.38355492110379,13.6551516567167,8.06920729610067,21.7243589528174,297880.177168459,+---
19A1895_9,9.3-5,"POR1POR1,POR2POR2",0.330068487399829,3.23753988708923,9.65354627049507,0.215149893886897,9.53372202970665,11.1813375323826,13.2211546449841,20.9302094559761,34.1513641009603,336716.5117235,++++
19A1896_1,9.3-5,"POR1por1,por2por2",0.312679088085347,5.4584641736982,10.3797992858629,0.224959423016412,7.73075142456305,7.42130970702715,16.1509425476464,15.3770205546066,31.5279631022531,305521.781061381,+---
19A1896_2,9.3-5,"POR1POR1,por2por2",0.361474289418252,4.82209122885939,11.6504679146579,0.196424456268321,9.03293683356795,9.16212388669193,16.8340334329355,18.3914851765282,35.2255186094637,295413.249375952,++--
19A1896_4,9.3-5,"por1por1,POR2por2",0.315388020505301,6.24761963976219,14.8239636866689,0.169242264198527,7.87908176841676,8.45215898881916,21.3869713469364,16.5004830214345,37.8874543683709,334595.331612135,--+-
19A1896_5,9.3-5,"POR1por1,por2por2",0.531862111514385,4.35426608168947,9.31143258188169,0.0604774231134467,2.69032900395575,4.5024953323634,14.1975607750855,7.25330175943259,21.4508625345181,294649.540377388,+---
19A1896_7,9.3-5,"por1por1,POR2por2",0.392596833514443,8.13016235935478,14.0309501979267,0.475786846842048,14.4195077677022,9.57910459695159,22.5537093907959,24.4743992114959,47.0281086022918,349238.448518487,--+-
19A1897_3,9.3-5,"por1por1,POR2por2",0.369840181199377,5.39216231588673,11.8306468099038,0.228822250467547,7.41060791543683,5.48518495214337,17.59264930699,13.1246151180478,30.7172644250377,357055.356097167,--+-
19A1897_4,9.3-5,"por1por1,POR2POR2",0.416243324394296,4.41965401571275,10.1922917721038,0.261097102233919,9.1083997301326,8.10632709167243,15.0281891122109,17.475823924039,32.5040130362498,292405.574976744,--++
19A1899_1,9.3-5,"por1por1,POR2por2",0.309504228711589,6.0196356782232,11.343346533308,0.0812481266871093,3.89291469781126,5.45267260685312,17.6724864402428,9.42683543135149,27.0993218715943,319713.117966906,--+-
19A1899_4,9.3-5,"por1por1,POR2por2",0.478996631247076,6.12856552343457,12.1995556230045,0.145885840927087,5.51762633354287,5.76594679059233,18.8071177776861,11.4294589650623,30.2365767427484,343049.902703383,--+-
19A1899_8,9.3-5,"POR1POR1,POR2POR2",0.336244923860651,6.03241245396566,9.144912463982,0.389983366782284,10.8487743352921,8.10594303766685,15.5135698418083,19.3447007397413,34.8582705815496,298829.508717657,++++
19A1900_11,9.3-5,"por1por1,POR2POR2",0.481328582117589,5.85966444098738,9.99115367966048,0.44511566001157,14.8157880519219,9.40057592996217,16.3321467027655,24.6614796418957,40.9936263446611,318997.204373371,--++
19A1900_7,9.3-5,"POR1POR1,POR2POR2",0.382139237789299,5.59011970180513,10.322056742693,0.358296229768206,11.4847843250305,7.21808490199825,16.2943156822875,19.0611654567969,35.3554811390844,301323.613823391,++++
19A1900_8,9.3-5,"por1por1,POR2por2",0.451610307010494,6.32967164125574,11.5912238852718,0.0959684685337118,4.78967212647797,6.23746194972956,18.372505833538,11.1231025447412,29.4956083782792,340464.747895033,--+-
19A1901_2,9.3-5,"por1por1,POR2por2",0.492002705908822,7.49597555114822,10.4655291749209,0.509212759589717,9.49037729029328,4.864354712368,18.4535074319779,14.863944762251,33.3174521942289,338200.725177627,--+-
19A1901_5,9.3-5,"POR1POR1,POR2POR2",0.216163211669856,4.96592241166913,9.46211606364598,0.409464254207994,11.8180176287729,7.89371350201077,14.644201686985,20.1211953849916,34.7653970719766,300587.49020288,++++
19A1903_1,9.3-5,"por1por1,POR2por2",0.330342716002178,6.1016075218371,12.7699624422211,0.129417847656295,5.6768932766693,5.8246486433833,19.2019126800604,11.6309597677089,30.8328724477693,337892.509840241,--+-
19A1903_6,9.3-5,"POR1por1,por2por2",0.307037389734508,5.80470655845224,10.8794522123373,0.0913703419137886,4.07526540782812,4.77783110245182,16.991196160524,8.94446685219373,25.9356630127177,300289.95764862,+---
19A1904_3,9.3-5,"POR1POR1,por2por2",0.288150265781838,7.35069430079213,13.4093129676697,0.371672960634779,12.2762201713007,8.0408868099866,21.0481575342436,20.6887799419221,41.7369374761657,317562.638292317,++--
19A1904_5,9.3-5,"por1por1,POR2por2",0.367066834040423,7.29758547078835,11.4806953729926,0.252083688703307,7.38328250607515,6.00083932397817,19.1453476778214,13.6362055187566,32.781553196578,339579.04597254,--+-
19A1904_6,9.3-5,"POR1POR1,POR2POR2",0.433399620430446,4.87976885759283,10.1660624198684,0.784915725358354,17.0353547481821,7.68691587066683,15.4792308978916,25.5071863442073,40.9864172420989,309555.972099493,++++
